Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
United States,Nuclear,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,Nuclear,Total energy supply (PJ),442,631,973,1323,2002,2210,2901,3196,2951,2904,3153,3270,3396,3789,4437,4788,5265,6094,6122,6672,7084,7156,7058,7406,7787,7802,7269,7790,8420,8702,8647,8777,8594,8873,8844,8904,9127,9140,9057,9152,8961,8740,8967,9061,9058,9163,9151,9178,9200,8980,8853,8767,8822
United States,Nuclear,Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
United States,Renewables and waste,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,1,1,1,1,0,0,0,0,1,1,1,10,11,59,54,85,26,2,17,52,118,55,95,134,89,52,77,80,91,79,125
United States,Renewables and waste,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-37,-92,-36,-32,-105,-83,-83,-84,-84,-113,-132,-160,-142,-134,-133,-147,-159
United States,Renewables and waste,Total energy supply (PJ),2440,2575,2614,2770,2754,2929,2826,3226,3375,3478,3464,3635,3907,4225,4104,4236,4328,4175,4362,4194,4398,4635,4485,4472,4654,4880,4711,4652,4633,4613,4025,4128,4372,4492,4639,4851,4835,5072,5181,5479,5891,5884,6283,6463,6369,6592,6850,7266,7380,7267,7681,8033,7707
United States,Renewables and waste,Total final consumption (PJ),1468,1540,1567,1579,1538,1757,1883,2090,2205,2277,2296,2331,2476,2771,2711,2772,3047,3013,1540,960,1096,1335,1105,1089,1251,1193,1136,1272,2188,2266,1919,1743,2020,2151,2350,2577,2675,2791,2777,2937,3077,3074,3368,3419,3322,3341,3307,3626,3685,3383,3576,3668,..
United States,Electricity,Imports (PJ),25,38,61,56,41,46,72,78,113,109,128,118,139,152,165,147,188,140,94,81,111,134,141,188,168,163,155,142,156,175,139,131,109,123,160,154,185,205,188,162,188,213,248,239,273,262,236,210,213,221,191,205,140
United States,Electricity,Exports (PJ),-13,-10,-9,-10,-18,-13,-10,-8,-8,-12,-10,-13,-12,-9,-18,-17,-21,-25,-54,-74,-31,-32,-38,-27,-33,-26,-32,-46,-51,-53,-59,-49,-86,-82,-71,-87,-73,-87,-65,-69,-54,-43,-41,-48,-33,-22,-34,-50,-72,-51,-50,-57,-72
United States,Electricity,Total energy supply (PJ),13,28,51,46,22,33,62,70,105,96,118,106,127,143,147,129,167,114,40,7,80,102,102,161,135,137,123,96,104,122,79,82,23,41,89,66,113,118,123,94,134,170,207,192,240,239,203,160,141,170,142,148,68
United States,Electricity,Total final consumption (PJ),5184,5606,6002,6009,6104,6478,6792,7032,7195,7292,7471,7238,7463,7940,8111,8189,8555,8973,9234,9481,9983,9992,10343,10643,10951,11261,11427,11813,12132,12598,12442,12801,12906,13090,13434,13495,13857,13787,13121,13638,13606,13416,13558,13640,13611,13730,13522,14043,13788,13600,13818,14422,..
United States,Heat,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,Heat,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,Heat,Total energy supply (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,Heat,Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,66,71,58,66,70,67,99,90,255,299,303,298,312,317,319,305,288,221,208,203,200,129,136,296,301,292,284,278,278,274,246,234,229,278,245,260,253,250,235,229,..
United States,Total,Imports (PJ),9343,11168,14265,13947,14607,17160,20777,19694,19839,16012,13975,12219,12109,12848,12204,14431,15690,17402,18802,18946,18448,19729,21587,22674,22448,24052,25694,26962,27664,29394,30656,29932,31661,34162,35252,35288,35232,33571,30256,30372,28954,26610,24333,22948,23481,24959,25063,24465,22576,19851,21262,21116,21277
United States,Total,Exports (PJ),-1956,-1921,-1856,-2001,-2093,-1938,-1886,-1713,-2465,-3156,-3739,-4119,-3331,-3389,-3770,-3714,-3550,-4062,-4389,-4631,-4956,-4788,-4078,-3871,-4303,-4532,-4530,-4303,-3710,-4006,-3662,-3593,-3962,-4283,-4432,-4747,-5347,-6966,-6782,-8026,-10028,-10885,-11149,-12136,-12742,-13829,-17763,-21136,-23409,-23231,-25018,-27031,-28806
United States,Total,Total energy supply (PJ),66470,69791,72435,70825,69236,73953,76406,78644,78468,75564,73477,70413,70476,73494,74283,74162,77324,80363,81542,80155,80814,82434,83882,85434,86522,88445,89330,90091,92529,95160,93352,94417,94635,96584,97044,96123,97818,95295,90593,92770,91512,89755,91337,92431,91451,90468,90099,92652,92603,85203,89555,90979,90140
United States,Total,Total final consumption (PJ),51443,53619,55076,53248,51423,54231,55951,57003,57363,54904,53939,51420,50793,53691,53149,53090,54880,57276,55492,54158,54223,54546,55496,56821,57683,59514,60262,60200,62403,64739,63635,63785,64449,65637,65442,65259,65987,64143,60790,63345,61716,60430,62484,63309,63156,63415,63587,66544,66012,60661,64012,66100,..
